Column,Missing Count,Missing Percentage
Date,0,0.0
Medicine_ID,0,0.0
Medicine_Name,0,0.0
Category,0,0.0
Manufacturer,0,0.0
Medicine_Form,0,0.0
Price,0,0.0
Current_Stock,0,0.0
Quantity_Sold,0,0.0
Supplier_Name,0,0.0
Supplier_Lead_Time,0,0.0
Batch_Number,0,0.0
Manufacturing_Date,0,0.0
Expiry_Date,0,0.0
Days_To_Expiry,0,0.0
Season,0,0.0
Month,0,0.0
Is_Festival,0,0.0
Avg_Last_7_Days_Sales,0,0.0
Avg_Last_30_Days_Sales,0,0.0
Safety_Stock,0,0.0
Reorder_Level,0,0.0
Future_Demand,0,0.0
Stock_Status,0,0.0
Expiry_Risk,0,0.0
Reorder_Required,0,0.0
Recommended_Reorder_Qty,0,0.0
Demand_Level,0,0.0
Stock_Cover_Days,0,0.0
Criticality_Level,0,0.0
Storage_Requirements,0,0.0
